ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-04-07,101251760.10393596,69471300.54092275,118151185.24726179,101251760.10393596,101251760.10393596,-6391973.051135992,-6391973.051135992,-6391973.051135992,-6391973.051135992,-6391973.051135992,-6391973.051135992,0.0,0.0,0.0,94859787.05279997
2026-04-08,100530867.55596825,66609947.02852817,114460483.633695,100530867.55596825,100530867.55596825,-11274215.17296084,-11274215.17296084,-11274215.17296084,-11274215.17296084,-11274215.17296084,-11274215.17296084,0.0,0.0,0.0,89256652.3830074
2026-04-09,99809974.99446067,72825844.99235399,119365117.24449903,99809974.99446067,99809974.99446067,-3859735.463225287,-3859735.463225287,-3859735.463225287,-3859735.463225287,-3859735.463225287,-3859735.463225287,0.0,0.0,0.0,95950239.53123538
2026-04-10,99089082.44961831,65931331.58027818,111651817.4292501,99089082.44961831,99089082.44961831,-9849924.813716065,-9849924.813716065,-9849924.813716065,-9849924.813716065,-9849924.813716065,-9849924.813716065,0.0,0.0,0.0,89239157.63590224
2026-04-11,98368189.88948482,91610753.79107574,139463397.27282956,98368189.88948482,98368189.88948482,17250165.38205549,17250165.38205549,17250165.38205549,17250165.38205549,17250165.38205549,17250165.38205549,0.0,0.0,0.0,115618355.27154031
2026-04-12,97647297.32935135,74516729.87225264,122426935.83910185,97647297.32935135,97647297.32935135,-245571.46317745984,-245571.46317745984,-245571.46317745984,-245571.46317745984,-245571.46317745984,-245571.46317745984,0.0,0.0,0.0,97401725.8661739
2026-04-13,96926404.7819675,88617117.61478624,136803961.27804938,96926404.7819675,96926404.7819675,14371254.582130067,14371254.582130067,14371254.582130067,14371254.582130067,14371254.582130067,14371254.582130067,0.0,0.0,0.0,111297659.36409757
2026-04-14,96205512.22909942,66294868.24747806,113913862.72905867,96205512.22909942,96205512.22909942,-6391973.051127078,-6391973.051127078,-6391973.051127078,-6391973.051127078,-6391973.051127078,-6391973.051127078,0.0,0.0,0.0,89813539.17797235
2026-04-15,95484619.65436894,62376554.020697646,107182339.64444423,95484619.65436894,95484619.65436894,-11274215.172904199,-11274215.172904199,-11274215.172904199,-11274215.172904199,-11274215.172904199,-11274215.172904199,0.0,0.0,0.0,84210404.48146474
2026-04-16,94763727.07168277,66711985.28268307,114423423.86583854,94763727.07168277,94763727.07168277,-3859735.4631389948,-3859735.4631389948,-3859735.4631389948,-3859735.4631389948,-3859735.4631389948,-3859735.4631389948,0.0,0.0,0.0,90903991.60854377
2026-04-17,94042834.497889,61718945.6899096,108700886.41809972,94042834.497889,94042834.497889,-9849924.813762417,-9849924.813762417,-9849924.813762417,-9849924.813762417,-9849924.813762417,-9849924.813762417,0.0,0.0,0.0,84192909.68412659
2026-04-18,93321941.91441317,87754351.52919415,133365804.61040567,93321941.91441317,93321941.91441317,17250165.38206229,17250165.38206229,17250165.38206229,17250165.38206229,17250165.38206229,17250165.38206229,0.0,0.0,0.0,110572107.29647546
2026-04-19,92601049.33093734,67658862.31332351,114769037.44192696,92601049.33093734,92601049.33093734,-245571.4631729184,-245571.4631729184,-245571.4631729184,-245571.4631729184,-245571.4631729184,-245571.4631729184,0.0,0.0,0.0,92355477.86776443
2026-04-20,91880156.76094283,83696765.7112454,129612330.90250431,91880156.76094283,91880156.76094283,14371254.582087696,14371254.582087696,14371254.582087696,14371254.582087696,14371254.582087696,14371254.582087696,0.0,0.0,0.0,106251411.34303053
2026-04-21,91159264.18605022,60038308.74129618,108045574.23632842,91159264.18605022,91159264.18605022,-6391973.051190346,-6391973.051190346,-6391973.051190346,-6391973.051190346,-6391973.051190346,-6391973.051190346,0.0,0.0,0.0,84767291.13485987
2026-04-22,90438371.62101085,55859324.434085965,104723779.85917044,90438371.62101085,90438371.62101085,-11274215.17292467,-11274215.17292467,-11274215.17292467,-11274215.17292467,-11274215.17292467,-11274215.17292467,0.0,0.0,0.0,79164156.44808619
2026-04-23,89717479.04350908,63417467.41881729,109342794.17284405,89717479.04350908,89717479.04350908,-3859735.4631862324,-3859735.4631862324,-3859735.4631862324,-3859735.4631862324,-3859735.4631862324,-3859735.4631862324,0.0,0.0,0.0,85857743.58032285
2026-04-24,88996586.44073363,56674546.92039669,101397302.46754608,88996586.44073363,88996586.44073363,-9849924.813759161,-9849924.813759161,-9849924.813759161,-9849924.813759161,-9849924.813759161,-9849924.813759161,0.0,0.0,0.0,79146661.62697446
2026-04-25,88275693.83022198,80028261.7930978,128526077.66779937,88275693.83022198,88275693.83022198,17250165.38206909,17250165.38206909,17250165.38206909,17250165.38206909,17250165.38206909,17250165.38206909,0.0,0.0,0.0,105525859.21229106
2026-04-26,87554801.21971036,64857074.74693479,112016675.55311762,87554801.21971036,87554801.21971036,-245571.46319070715,-245571.46319070715,-245571.46319070715,-245571.46319070715,-245571.46319070715,-245571.46319070715,0.0,0.0,0.0,87309229.75651966
2026-04-27,86833908.58820055,76542451.09415141,123137033.78860812,86833908.58820055,86833908.58820055,14371254.582123574,14371254.582123574,14371254.582123574,14371254.582123574,14371254.582123574,14371254.582123574,0.0,0.0,0.0,101205163.17032413
2026-04-28,86113015.9633289,56170984.27355081,101803342.793139,86113015.9633289,86113015.9633289,-6391973.051109246,-6391973.051109246,-6391973.051109246,-6391973.051109246,-6391973.051109246,-6391973.051109246,0.0,0.0,0.0,79721042.91221966
2026-04-29,85392123.32935438,50407364.02499603,98709710.5350105,85392123.32935438,85392123.32935438,-11274215.172945136,-11274215.172945136,-11274215.172945136,-11274215.172945136,-11274215.172945136,-11274215.172945136,0.0,0.0,0.0,74117908.15640923
2026-04-30,84671230.70806237,57541115.68481499,103566347.67158562,84671230.70806237,84671230.70806237,-3859735.4631905477,-3859735.4631905477,-3859735.4631905477,-3859735.4631905477,-3859735.4631905477,-3859735.4631905477,0.0,0.0,0.0,80811495.24487182
2026-05-01,83950338.08231667,51692673.98426005,96618846.15965661,83950338.08231667,83950338.08231667,-9849924.813762313,-9849924.813762313,-9849924.813762313,-9849924.813762313,-9849924.813762313,-9849924.813762313,0.0,0.0,0.0,74100413.26855436
2026-05-02,83229445.45642297,77396072.45799153,122693812.60177478,83229445.45642297,83229445.45642297,17250165.382064816,17250165.382064816,17250165.382064816,17250165.382064816,17250165.382064816,17250165.382064816,0.0,0.0,0.0,100479610.83848779
2026-05-03,82508552.83052924,58722081.464276224,106025672.70254813,82508552.83052924,82508552.83052924,-245571.4631852477,-245571.4631852477,-245571.4631852477,-245571.4631852477,-245571.4631852477,-245571.4631852477,0.0,0.0,0.0,82262981.36734399
2026-05-04,81787660.1914227,72200336.5420115,119866300.43732989,81787660.1914227,81787660.1914227,14371254.582159454,14371254.582159454,14371254.582159454,14371254.582159454,14371254.582159454,14371254.582159454,0.0,0.0,0.0,96158914.77358216
2026-05-05,81066767.56254344,53807767.491043344,98371672.77487665,81066767.56254344,81066767.56254344,-6391973.051131119,-6391973.051131119,-6391973.051131119,-6391973.051131119,-6391973.051131119,-6391973.051131119,0.0,0.0,0.0,74674794.51141232
2026-05-06,80345874.92728238,45492944.538985774,91164370.39651786,80345874.92728238,80345874.92728238,-11274215.172965603,-11274215.172965603,-11274215.172965603,-11274215.172965603,-11274215.172965603,-11274215.172965603,0.0,0.0,0.0,69071659.75431678
2026-05-07,79624982.2715448,51722538.84253032,99336319.03975454,79624982.2715448,79624982.2715448,-3859735.4631710197,-3859735.4631710197,-3859735.4631710197,-3859735.4631710197,-3859735.4631710197,-3859735.4631710197,0.0,0.0,0.0,75765246.80837378
2026-05-08,78904089.61580724,43888169.21185475,91940837.44089894,78904089.61580724,78904089.61580724,-9849924.81372227,-9849924.81372227,-9849924.81372227,-9849924.81372227,-9849924.81372227,-9849924.81372227,0.0,0.0,0.0,69054164.80208497
2026-05-09,78183196.96006966,71223027.63881737,119037742.05631502,78183196.96006966,78183196.96006966,17250165.38208269,17250165.38208269,17250165.38208269,17250165.38208269,17250165.38208269,17250165.38208269,0.0,0.0,0.0,95433362.34215234
2026-05-10,77462304.30433206,54872418.56509967,100256399.03355116,77462304.30433206,77462304.30433206,-245571.46317978998,-245571.46317978998,-245571.46317978998,-245571.46317978998,-245571.46317978998,-245571.46317978998,0.0,0.0,0.0,77216732.84115227
2026-05-11,76741411.6485945,68602843.89367478,114748900.99662441,76741411.6485945,76741411.6485945,14371254.582089419,14371254.582089419,14371254.582089419,14371254.582089419,14371254.582089419,14371254.582089419,0.0,0.0,0.0,91112666.23068392
2026-05-12,76020518.99285692,45840492.573562905,92100498.43190204,76020518.99285692,76020518.99285692,-6391973.0511222035,-6391973.0511222035,-6391973.0511222035,-6391973.0511222035,-6391973.0511222035,-6391973.0511222035,0.0,0.0,0.0,69628545.94173472
2026-05-13,75299626.33711934,39777640.74468529,87477238.18116416,75299626.33711934,75299626.33711934,-11274215.172908964,-11274215.172908964,-11274215.172908964,-11274215.172908964,-11274215.172908964,-11274215.172908964,0.0,0.0,0.0,64025411.16421038
2026-05-14,74578733.68138176,46816519.198202625,93695945.19128972,74578733.68138176,74578733.68138176,-3859735.4631514912,-3859735.4631514912,-3859735.4631514912,-3859735.4631514912,-3859735.4631514912,-3859735.4631514912,0.0,0.0,0.0,70718998.21823028
2026-05-15,73857841.02564418,41451533.885382794,87712830.3546419,73857840.99708481,73857841.05404107,-9849924.813682228,-9849924.813682228,-9849924.813682228,-9849924.813682228,-9849924.813682228,-9849924.813682228,0.0,0.0,0.0,64007916.211961955
2026-05-16,73136948.36990662,67692339.73639579,114572008.32049197,73136948.27791555,73136948.46049581,17250165.38205485,17250165.38205485,17250165.38205485,17250165.38205485,17250165.38205485,17250165.38205485,0.0,0.0,0.0,90387113.75196147
2026-05-17,72416055.71416904,49340960.33601306,95702028.98240209,72416055.53779072,72416055.8900656,-245571.46317433054,-245571.46317433054,-245571.46317433054,-245571.46317433054,-245571.46317433054,-245571.46317433054,0.0,0.0,0.0,72170484.25099471
2026-05-18,71695163.05843146,62487811.6095083,110045826.78170845,71695162.76363048,71695163.33249989,14371254.582125295,14371254.582125295,14371254.582125295,14371254.582125295,14371254.582125295,14371254.582125295,0.0,0.0,0.0,86066417.64055675
2026-05-19,70974270.40269387,41418114.030871235,87229402.15642442,70974270.0012697,70974270.77732816,-6391973.051185469,-6391973.051185469,-6391973.051185469,-6391973.051185469,-6391973.051185469,-6391973.051185469,0.0,0.0,0.0,64582297.3515084
2026-05-20,70253377.7469563,36249950.4270661,83118187.62539172,70253377.22608443,70253378.24669693,-11274215.17300654,-11274215.17300654,-11274215.17300654,-11274215.17300654,-11274215.17300654,-11274215.17300654,0.0,0.0,0.0,58979162.57394976
2026-05-21,69532485.09121872,40628949.485256076,88065582.03890909,69532484.41450694,69532485.72353981,-3859735.463155807,-3859735.463155807,-3859735.463155807,-3859735.463155807,-3859735.463155807,-3859735.463155807,0.0,0.0,0.0,65672749.62806292
2026-05-22,68811592.43548115,36639788.292010084,81703623.73119195,68811591.59819858,68811593.21312562,-9849924.81372858,-9849924.81372858,-9849924.81372858,-9849924.81372858,-9849924.81372858,-9849924.81372858,0.0,0.0,0.0,58961667.62175257
2026-05-23,68090699.77974357,62810209.55551644,110158239.01574956,68090698.77630605,68090700.70921032,17250165.382061653,17250165.382061653,17250165.382061653,17250165.382061653,17250165.382061653,17250165.382061653,0.0,0.0,0.0,85340865.16180521
2026-05-24,67369807.124006,44818518.092541315,89713081.36706574,67369805.93839519,67369808.20505808,-245571.4631697908,-245571.4631697908,-245571.4631697908,-245571.4631697908,-245571.4631697908,-245571.4631697908,0.0,0.0,0.0,67124235.66083622
2026-05-25,66648914.46826841,57673056.08854578,105589808.0290578,66648913.093782656,66648915.76939861,14371254.582108222,14371254.582108222,14371254.582108222,14371254.582108222,14371254.582108222,14371254.582108222,0.0,0.0,0.0,81020169.05037662
2026-05-26,65928021.812530845,35810380.47713071,82270423.77924527,65928020.24365604,65928023.29993198,-6391973.051248736,-6391973.051248736,-6391973.051248736,-6391973.051248736,-6391973.051248736,-6391973.051248736,0.0,0.0,0.0,59536048.76128211
2026-05-27,65207129.156793274,30705151.218163524,77708424.26033738,65207127.37519086,65207130.845903926,-11274215.172933847,-11274215.172933847,-11274215.172933847,-11274215.172933847,-11274215.172933847,-11274215.172933847,0.0,0.0,0.0,53932913.98385943
2026-05-28,64486236.50105568,36411935.56389233,83076657.11272684,64486234.497220516,64486238.400252305,-3859735.4631362786,-3859735.4631362786,-3859735.4631362786,-3859735.4631362786,-3859735.4631362786,-3859735.4631362786,0.0,0.0,0.0,60626501.0379194
2026-05-29,63765343.84531811,30426182.873670325,77260293.52387972,63765341.63935913,63765345.94195717,-9849924.813688535,-9849924.813688535,-9849924.813688535,-9849924.813688535,-9849924.813688535,-9849924.813688535,0.0,0.0,0.0,53915419.03162958
2026-05-30,63044451.18958053,57742395.22194765,104108845.7025518,63044448.7205346,63044453.4618782,17250165.382057376,17250165.382057376,17250165.382057376,17250165.382057376,17250165.382057376,17250165.382057376,0.0,0.0,0.0,80294616.5716379
2026-05-31,62323558.53384294,38154703.80105822,84730376.4341523,62323555.82166025,62323561.014128506,-245571.46316433308,-245571.46316433308,-245571.46316433308,-245571.46316433308,-245571.46316433308,-245571.46316433308,0.0,0.0,0.0,62077987.070678614
2026-06-01,61602665.87810538,52522252.46196645,98764432.50146925,61602662.959297694,61602668.59873257,14371254.582118805,14371254.582118805,14371254.582118805,14371254.582118805,14371254.582118805,14371254.582118805,0.0,0.0,0.0,75973920.46022418
2026-06-02,60881773.22236779,30436642.6697418,77892236.3152966,60881770.02842982,60881776.173630014,-6391973.051167638,-6391973.051167638,-6391973.051167638,-6391973.051167638,-6391973.051167638,-6391973.051167638,0.0,0.0,0.0,54489800.171200156
2026-06-03,60160880.56663022,24740351.96501291,71609287.66855744,60160877.08788172,60160883.78051939,-11274215.173031423,-11274215.173031423,-11274215.173031423,-11274215.173031423,-11274215.173031423,-11274215.173031423,0.0,0.0,0.0,48886665.393598795
2026-06-04,59439987.91089264,32607585.42420401,79337881.94284748,59439984.19959427,59439991.32170013,-3859735.463183516,-3859735.463183516,-3859735.463183516,-3859735.463183516,-3859735.463183516,-3859735.463183516,0.0,0.0,0.0,55580252.44770913
2026-06-05,58719095.25515507,26460714.188571025,72509061.50291574,58719091.28404504,58719098.889638126,-9849924.81369169,-9849924.81369169,-9849924.81369169,-9849924.81369169,-9849924.81369169,-9849924.81369169,0.0,0.0,0.0,48869170.44146338
2026-06-06,57998202.59941749,52577017.47865158,99272530.15443099,57998198.35621579,57998206.54315724,17250165.382053103,17250165.382053103,17250165.382053103,17250165.382053103,17250165.382053103,17250165.382053103,0.0,0.0,0.0,75248367.9814706
2026-06-07,57277309.943679914,33082857.611626394,80963664.66340405,57277305.32092243,57277314.16439014,-245571.46318212012,-245571.46318212012,-245571.46318212012,-245571.46318212012,-245571.46318212012,-245571.46318212012,0.0,0.0,0.0,57031738.48049779
2026-06-08,56556417.28794234,46844581.470172085,95053769.38129313,56556412.322956525,56556421.838342555,14371254.582101725,14371254.582101725,14371254.582101725,14371254.582101725,14371254.582101725,14371254.582101725,0.0,0.0,0.0,70927671.87004407
2026-06-09,55835524.63220476,25201483.153616406,72609675.47274339,55835519.38833708,55835529.45148079,-6391973.0512309065,-6391973.0512309065,-6391973.0512309065,-6391973.0512309065,-6391973.0512309065,-6391973.0512309065,0.0,0.0,0.0,49443551.580973856
2026-06-10,55114631.976467185,22313724.19297491,66368968.326889195,55114626.44126905,55114637.10855162,-11274215.172974784,-11274215.172974784,-11274215.172974784,-11274215.172974784,-11274215.172974784,-11274215.172974784,0.0,0.0,0.0,43840416.8034924
2026-06-11,54393739.320729606,28119877.98668362,74223327.89316002,54393733.330873,54393744.74021517,-3859735.4631639896,-3859735.4631639896,-3859735.4631639896,-3859735.4631639896,-3859735.4631639896,-3859735.4631639896,0.0,0.0,0.0,50534003.85756562
2026-06-12,53672846.664992034,20878592.68151977,68391227.10900086,53672840.32122563,53672852.416125014,-9849924.81373163,-9849924.81373163,-9849924.81373163,-9849924.81373163,-9849924.81373163,-9849924.81373163,0.0,0.0,0.0,43822921.85126041
2026-06-13,52951954.00925445,46676729.16757143,92442218.43404712,52951947.34675594,52951960.007472776,17250165.382070977,17250165.382070977,17250165.382070977,17250165.382070977,17250165.382070977,17250165.382070977,0.0,0.0,0.0,70202119.39132543
